Location,period_code,period_start,period_end,Confirmed,Probable
CONAKRY,2014-W50,08 December 2014,14 December 2014,37,6
COYAH,2014-W50,08 December 2014,14 December 2014,31,5
DABOLA,2014-W50,08 December 2014,14 December 2014,2,0
DUBREKA,2014-W50,08 December 2014,14 December 2014,6,3
FARANAH,2014-W50,08 December 2014,14 December 2014,0,14
FORECARIAH,2014-W50,08 December 2014,14 December 2014,22,1
GUECKEDOU,2014-W50,08 December 2014,14 December 2014,3,0
KANKAN,2014-W50,08 December 2014,14 December 2014,2,0
KEROUANE,2014-W50,08 December 2014,14 December 2014,9,0
KINDIA,2014-W50,08 December 2014,14 December 2014,1,24
KISSIDOUGOU,2014-W50,08 December 2014,14 December 2014,2,0
KOUROUSSA,2014-W50,08 December 2014,14 December 2014,3,0
LOLA,2014-W50,08 December 2014,14 December 2014,4,0
MACENTA,2014-W50,08 December 2014,14 December 2014,6,0
N'ZEREKORE,2014-W50,08 December 2014,14 December 2014,13,0
SIGUIRI,2014-W50,08 December 2014,14 December 2014,0,4
TELIMELE,2014-W50,08 December 2014,14 December 2014,10,0
