Location,period_code,period_start,period_end,Confirmed
BEYLA,2014-W52,22 December 2014,28 December 2014,1
CONAKRY,2014-W52,22 December 2014,28 December 2014,46
COYAH,2014-W52,22 December 2014,28 December 2014,23
DABOLA,2014-W52,22 December 2014,28 December 2014,2
DUBREKA,2014-W52,22 December 2014,28 December 2014,36
FARANAH,2014-W52,22 December 2014,28 December 2014,4
FORECARIAH,2014-W52,22 December 2014,28 December 2014,2
GUECKEDOU,2014-W52,22 December 2014,28 December 2014,1
KANKAN,2014-W52,22 December 2014,28 December 2014,3
KEROUANE,2014-W52,22 December 2014,28 December 2014,4
KINDIA,2014-W52,22 December 2014,28 December 2014,31
KISSIDOUGOU,2014-W52,22 December 2014,28 December 2014,26
KOUROUSSA,2014-W52,22 December 2014,28 December 2014,1
LOLA,2014-W52,22 December 2014,28 December 2014,17
MACENTA,2014-W52,22 December 2014,28 December 2014,4
N'ZEREKORE,2014-W52,22 December 2014,28 December 2014,5
SIGUIRI,2014-W52,22 December 2014,28 December 2014,2
TELIMELE,2014-W52,22 December 2014,28 December 2014,10
