country,year,gdp_per_capita,population,total_gdp
Algeria,2000,1794.405233,31183658,55956119099.2823
Angola,2000,298.4058429,15058638,4493585565.31597
Benin,2000,345.9503552,6949366,2404135636.1148
Botswana,2000,3204.115483,1736579,5564199661.35266
Burkina Faso,2000,212.3753864,11607944,2465241592.30956
Burundi,2000,131.0463341,6767073,886800109.237089
Cameroon,2000,592.3720003,15927713,9435131210.01431
Cape Verde,2000,1233.257523,438737,541075705.868451
Central African Republic,2000,247.0281844,3726048,920438872.427251
Chad,2000,168.4499977,8343321,1405432403.26036
Comoros,2000,358.9529087,547696,196597072.283355
"Congo, Dem. Rep.",2000,86.75450673,48048664,4168438144.35551
"Congo, Rep.",2000,1026.831555,3109269,3192695522.1833
Cote d'Ivoire,2000,628.2281148,16517948,10377039332.4044
Djibouti,2000,753.1196451,722562,544175637.002746
Egypt,2000,1475.84441,68334905,100851687552.131
Equatorial Guinea,2000,2388.348625,530896,1267964731.618
Eritrea,2000,172.7571562,3535156,610723497.283367
Ethiopia,2000,123.6809168,66443603,8217805734.53523
Gabon,2000,4102.624602,1231548,5052579123.3439
Gambia,2000,603.5953462,1228863,741735987.917371
Ghana,2000,259.9906944,18824994,4894323262.13583
Guinea,2000,358.9629091,8799165,3158573866.0509
Guinea-Bissau,2000,173.6626946,1315455,228445459.925043
Kenya,2000,406.5230596,31065820,12628972195.3829
Lesotho,2000,379.7756226,1856225,704949005.060685
Liberia,2000,185.8134039,2891968,537366418.049875
Libya,2000,6479.712522,5337264,34583936374.0198
Madagascar,2000,252.3825167,15744811,3973715025.14584
Malawi,2000,155.2715445,11193230,1737990110.04374
Mali,2000,214.4665918,11046926,2369196569.08681
Mauritania,2000,489.511645,2711421,1327272153.99755
Mauritius,2000,3861.038542,1185143,4575882800.78151
Morocco,2000,1271.811092,28950553,36819634424.9339
Mozambique,2000,233.4392656,18264536,4263659870.36476
Namibia,2000,2061.620971,1897953,3912859706.77236
Niger,2000,164.6489476,11224523,1848105899.262
Nigeria,2000,371.7680804,122876723,45681643435.5525
Rwanda,2000,214.2336989,8021875,1718555953.36344
Sao Tome and Principe,2000,543.9990393,137164,74617084.2265452
Senegal,2000,492.2862252,9860578,4854226721.91017
Seychelles,2000,7578.851053,81154,615054078.355162
Sierra Leone,2000,153.4779677,4060709,623229364.741099
South Africa,2000,3019.946367,44896856,135586097166.922
Sudan,2000,358.529201,28079664,10067379498.2685
Swaziland,2000,1508.18366,1063715,1604277581.8969
Tanzania,2000,307.9861546,33991590,10468939092.8398
Togo,2000,270.0008761,4874735,1316182720.75533
Tunisia,2000,2245.335059,9699192,21777935841.5723
Uganda,2000,255.7806112,23757636,6076742656.74712
Zambia,2000,318.9268222,10585220,3375910576.88788
Zimbabwe,2000,534.7911515,12499981,6684879232.71812
