country,year,population,gdp
Australia,1990,17096869,300107784341.114
Australia,1995,18124770,338759864212.087
Australia,2000,19107251,414780916644.172
Australia,2005,20274282,485146627069.961
Australia,2010,22162863,558301132672.119
Fiji,1990,728626,1335705790.40386
Fiji,1995,775498,1516326475.51579
Fiji,2000,811223,1683082743.54991
Fiji,2005,821820,1896890617.94592
Fiji,2010,859952,1907499910.24616
French Polynesia,1990,198370,2777827650.2782
French Polynesia,1995,215200,2928452781.792
French Polynesia,2000,237267,3442160839.58982
French Polynesia,2005,254884,
French Polynesia,2010,268065,
Kiribati,1990,72411,48534475.9826817
Kiribati,1995,77727,51419786.96088
Kiribati,2000,84406,68561480.9743808
Kiribati,2005,92329,72512766.039075
Kiribati,2010,102648,73245763.1202024
Marshall Islands,1990,47300,101112724.2763
Marshall Islands,1995,51020,131689273.41616
Marshall Islands,2000,52161,110971769.183382
Marshall Islands,2005,52058,123281091.948314
Marshall Islands,2010,52428,127781844.02646
"Micronesia, Fed. Sts.",1990,96331,182461073.452584
"Micronesia, Fed. Sts.",1995,107556,235499454.912
"Micronesia, Fed. Sts.",2000,107430,233938394.43468
"Micronesia, Fed. Sts.",2005,106198,233237059.720808
"Micronesia, Fed. Sts.",2010,103619,221126796.689278
New Caledonia,1990,168537,2285808772.81935
New Caledonia,1995,189198,2573368170.12108
New Caledonia,2000,209997,2641677234.31467
New Caledonia,2005,228683,
New Caledonia,2010,246345,
New Zealand,1990,3397534,39503489723.3217
New Zealand,1995,3674886,45171101763.5182
New Zealand,2000,3858234,51606891178.8017
New Zealand,2005,4134699,62729975739.2687
New Zealand,2010,4369027,63915448867.7887
Palau,1990,15089,
Palau,1995,17255,109666343.885
Palau,2000,19174,119875503.960918
Palau,2005,19907,127993766.451579
Palau,2010,20470,117841911.26252
Papua New Guinea,1990,4157903,2356993537.15293
Papua New Guinea,1995,4715929,3559227888.00109
Papua New Guinea,2000,5374051,3518223420.96367
Papua New Guinea,2005,6086905,3812278808.11851
Papua New Guinea,2010,6847517,5095994376.27031
Samoa,1990,162865,194099795.29775
Samoa,1995,170158,204930258.467502
Samoa,2000,174614,242925503.209356
Samoa,2005,179928,313462373.256648
Samoa,2010,186029,329190409.431319
Solomon Islands,1990,311849,343423085.680906
Solomon Islands,1995,359236,504296633.78194
Solomon Islands,2000,412336,438937727.978832
Solomon Islands,2005,469306,457857482.025441
Solomon Islands,2010,526177,601834699.065465
Tonga,1990,95152,142132663.90888
Tonga,1995,95889,171182063.826072
Tonga,2000,97898,188551996.274942
Tonga,2005,100858,213317400.125202
Tonga,2010,103947,215089851.861414
Tuvalu,1990,9004,10157210.548328
Tuvalu,1995,9227,11798530.400247
Tuvalu,2000,9419,13741846.517875
Tuvalu,2005,9694,13825498.89843
Tuvalu,2010,9827,15329959.800246
Vanuatu,1990,146633,194634277.541773
Vanuatu,1995,168236,228542854.01116
Vanuatu,2000,185058,271991176.778646
Vanuatu,2005,209375,283875173.253125
Vanuatu,2010,236299,359737826.26796
