country,year,gdp_per_capita,population,total_gdp
Armenia,2000,621.4248263,3076098,1911563665.33178
Azerbaijan,2000,655.0974326,8117742,5317911942.70919
Bahrain,2000,12489.46775,666855,8328664016.42625
Bangladesh,2000,363.6399273,131280739,47738918385.8503
Bhutan,2000,768.7509995,564187,433719320.154907
Brunei,2000,18350.13062,330554,6065709076.96348
Cambodia,2000,293.5684654,12197905,3580920251.94499
China,2000,949.1780621,1269974572,1205432003167.24
Cyprus,2000,13421.65542,943287,12660473076.1655
Georgia,2000,691.9977052,4743591,3282554086.40737
"Hong Kong, China",2000,25756.66378,6783502,174720380264.958
India,2000,450.4151061,1053481072,474503788819.222
Indonesia,2000,773.3109699,211540428,163586533549.741
Iran,2000,1550.090608,65850062,102073562642.418
Iraq,2000,1063.481473,23574751,25071310919.0882
Israel,2000,19859.30215,6013711,119428103791.779
Japan,2000,37291.70616,125714674,4688114682808.19
Jordan,2000,1764.229892,4767476,8410923668.59259
Kazakhstan,2000,1229.000958,14956769,18381883429.5847
Kuwait,2000,19434.40002,1929470,37498091806.5894
Kyrgyz Republic,2000,279.620275,4954850,1385476519.58375
Lao,2000,325.5930951,5342879,1739604510.35479
Lebanon,2000,4612.198672,3235380,14922215339.4154
"Macao, China",2000,14128.87518,431907,6102360092.36826
Malaysia,2000,4005.556325,23420751,93813137304.3001
Maldives,2000,2284.973955,280384,640670137.39872
Mongolia,2000,471.4733258,2397438,1130328067.2593
Nepal,2000,225.1686785,23740145,5345537077.04838
Oman,2000,8774.93385,2239403,19650613188.4916
Pakistan,2000,511.7025555,138250487,70743127497.0195
Philippines,2000,1048.070513,77932247,81678490092.5327
Qatar,2000,30052.7612,593453,17834901292.4236
Russia,2000,1775.141291,146400951,259882373161.768
Saudi Arabia,2000,9400.811686,21392273,201104730008.502
Singapore,2000,23814.55661,3918183,93309790861.8396
South Korea,2000,11346.66499,46206271,524287077474.152
Sri Lanka,2000,854.9267252,18783745,16058725599.8419
Syria,2000,1208.734642,16354050,19767706772.0001
Tajikistan,2000,139.4098818,6186152,862410719.116834
Thailand,2000,1943.237928,62693322,121828041142.717
Timor-Leste,2000,380.9230095,847185,322712259.803257
Turkey,2000,4189.478062,63240157,264943250388.936
Turkmenistan,2000,645.2771015,4501419,2904662604.95703
United Arab Emirates,2000,34395.14913,3050128,104909607425.589
Uzbekistan,2000,558.221144,24518222,13686589933.686
Vietnam,2000,401.5478021,80285563,32238491363.0111
West Bank and Gaza,2000,1369.193027,3223781,4413978465.77509
Yemen,2000,543.7138828,17795219,9675507617.76633
