country,year,gdp_per_capita,population,total_gdp
Albania,2000,1200.137437,3121965,3746787073.50371
Andorra,2000,17539.442,65399,1147061967.358
Armenia,2000,621.4248263,3076098,1911563665.33178
Austria,2000,23974.18307,8050884,193013366891.334
Azerbaijan,2000,655.0974326,8117742,5317911942.70919
Belarus,2000,1273.049124,9952055,12669454899.7498
Belgium,2000,22697.0123,10268380,233061547161.074
Bosnia and Herzegovina,2000,1490.642834,3792878,5653826410.93625
Bulgaria,2000,1579.34824,8000510,12635591387.6024
Channel Islands,2000,44310.90232,148725,6590138947.542
Croatia,2000,4861.67751,4428069,21527843470.0282
Cyprus,2000,13421.65542,943287,12660473076.1655
Czech Republic,2000,5724.837473,10263010,58754064233.7737
Denmark,2000,29980.15547,5338283,160042554282.858
Estonia,2000,4143.927189,1399145,5797955006.85341
Faeroe Islands,2000,23224.09863,46491,1079711569.40733
Finland,2000,23529.53846,5176482,121800232306.498
France,2000,21774.99299,59387183,1293155493520.85
Georgia,2000,691.9977052,4743591,3282554086.40737
Germany,2000,22945.70885,81895925,1879160051051.44
Greece,2000,11396.23262,10954032,124834696798.924
Hungary,2000,4542.72072,10224113,46445289968.7214
Iceland,2000,30928.67564,281214,8697576591.42696
Ireland,2000,25629.6501,3841574,98458197453.2574
Isle of Man,2000,20359.46252,76806,1563728878.31112
Italy,2000,19388.27875,57147081,1107983536176.83
Kazakhstan,2000,1229.000958,14956769,18381883429.5847
Kosovo,2000,1087.762401,2608347,2837261795.36115
Latvia,2000,3300.934656,2371481,7828103818.94554
Liechtenstein,2000,75606.2032,33282,2516325654.9024
Lithuania,2000,3267.347443,3486373,11391191906.8942
Luxembourg,2000,46453.24578,436107,20258585657.3785
"Macedonia, FYR",2000,1785.326792,2012051,3592168557.17039
Malta,2000,10377.03732,387180,4017781309.5576
Moldova,2000,354.001668,4201088,1487192159.41478
Monaco,2000,75382.44663,32081,2418344270.33703
Montenegro,2000,1555.912521,613557,954641018.647197
Netherlands,2000,24179.73141,15894016,384313037906.243
Norway,2000,37472.67167,4491572,168311202838.165
Poland,2000,4454.08022,38486305,171421089841.387
Portugal,2000,11470.89792,10278542,117904106048.433
Romania,2000,1650.968421,22128139,36532858704.4985
Russia,2000,1775.141291,146400951,259882373161.768
San Marino,2000,28698.32174,27420,786907982.1108
Serbia,2000,809.2750794,9463306,7658417714.5365
Slovak Republic,2000,5330.401622,5386065,28709889612.1974
Slovenia,2000,10045.36008,1988652,19976725413.8122
Spain,2000,14413.78887,40749800,587359013694.726
Sweden,2000,27869.3776,8872284,247265032970.438
Switzerland,2000,35639.47886,7165581,255377572569.118
Turkey,2000,4189.478062,63240157,264943250388.936
Ukraine,2000,635.7089682,48746269,30988440369.5896
United Kingdom,2000,25057.61353,58867004,1475066635900.96
