country,year,gdp_per_capita,population,total_gdp
Bahrain,2000,12489.46775,666855,8328664016.42625
Cyprus,2000,13421.65542,943287,12660473076.1655
Egypt,2000,1475.84441,68334905,100851687552.131
Iran,2000,1550.090608,65850062,102073562642.418
Iraq,2000,1063.481473,23574751,25071310919.0882
Israel,2000,19859.30215,6013711,119428103791.779
Jordan,2000,1764.229892,4767476,8410923668.59259
Kuwait,2000,19434.40002,1929470,37498091806.5894
Lebanon,2000,4612.198672,3235380,14922215339.4154
Oman,2000,8774.93385,2239403,19650613188.4916
Qatar,2000,30052.7612,593453,17834901292.4236
Saudi Arabia,2000,9400.811686,21392273,201104730008.502
Syria,2000,1208.734642,16354050,19767706772.0001
Turkey,2000,4189.478062,63240157,264943250388.936
United Arab Emirates,2000,34395.14913,3050128,104909607425.589
West Bank and Gaza,2000,1369.193027,3223781,4413978465.77509
Yemen,2000,543.7138828,17795219,9675507617.76633
