country,year,gdp_per_capita,population,total_gdp
Antigua and Barbuda,2000,10143.36808,77648,787612244.67584
Aruba,2000,20589.77183,90858,1870745488.93014
Bahamas,2000,21258.29243,297891,6332653990.26513
Barbados,2000,9565.401228,269838,2581108736.56106
Belize,2000,3329.663731,247312,823465796.641072
Bermuda,2000,56042.17391,64035,3588660606.32685
Canada,2000,23559.50369,30701903,723321597018.522
Costa Rica,2000,4068.821351,3925450,15971954772.283
Cuba,2000,2752.552094,11116787,30599535335.402
Dominica,2000,4657.019077,69679,324496432.266283
Dominican Republic,2000,2792.917696,8562623,23914701300.8766
El Salvador,2000,2211.022459,5811836,12850099924.0247
Greenland,2000,19004.00345,56174,1067530889.8003
Grenada,2000,5154.117875,101620,523761458.4575
Guatemala,2000,1716.685342,11688660,20065751289.6217
Haiti,2000,423.8688942,8549202,3623740798.03243
Honduras,2000,1142.709658,6243080,7134027811.66664
Jamaica,2000,3479.056754,2600095,9045878070.79163
Mexico,2000,5816.614481,102808590,597997933365.192
Nicaragua,2000,1006.62731,5026792,5060106108.88952
Panama,2000,3930.98941,3028751,11905988106.5269
Puerto Rico,2000,16192.12697,3796981,61481198454.6776
St. Kitts and Nevis,2000,9406.289898,45544,428400067.114512
St. Lucia,2000,4900.495676,156949,769127895.852524
St. Vincent and the Grenadines,2000,3683.782769,107897,397469109.426793
Trinidad and Tobago,2000,6311.106551,1267980,8002356884.53698
United States,2000,35081.92308,282895741,9924526625421.6
