country,year,gdp_per_capita,population,total_gdp
Australia,2000,21708.03726,19107251,414780916644.172
Fiji,2000,2074.747318,811223,1683082743.54991
French Polynesia,2000,14507.54146,237267,3442160839.58982
Kiribati,2000,812.2820768,84406,68561480.9743808
Marshall Islands,2000,2127.485462,52161,110971769.183382
"Micronesia, Fed. Sts.",2000,2177.589076,107430,233938394.43468
New Caledonia,2000,12579.59511,209997,2641677234.31467
New Zealand,2000,13375.78052,3858234,51606891178.8017
Palau,2000,6251.982057,19174,119875503.960918
Papua New Guinea,2000,654.6687817,5374051,3518223420.96367
Samoa,2000,1391.214354,174614,242925503.209356
Solomon Islands,2000,1064.514687,412336,438937727.978832
Tonga,2000,1926.004579,97898,188551996.274942
Tuvalu,2000,1458.949625,9419,13741846.517875
Vanuatu,2000,1469.761787,185058,271991176.778646
