country,year,gdp_per_capita,population,total_gdp
Argentina,2000,7695.594073,37057453,285179115667.276
Bolivia,2000,1010.907367,8339512,8430474117.98491
Brazil,2000,3696.146772,175786441,649732486463.518
Chile,2000,5144.589254,15170387,78045409939.2213
Colombia,2000,2511.974665,40403959,101493721373.699
Ecuador,2000,1291.341613,12628596,16307831528.5654
Guyana,2000,972.1278856,742218,721530814.994261
Paraguay,2000,1323.481934,5302703,7018031621.8676
Peru,2000,2060.576257,25914875,53399576128.1229
Suriname,2000,1911.046315,480751,918737426.982565
Uruguay,2000,6914.362582,3321242,22964271410.5668
Venezuela,2000,4818.70818,24481477,117969093478.382
