country,years
Afghanistan,53.6
Albania,77.2
Algeria,76
American Samoa,72.8
Andorra,84.7
Angola,57.6
Antigua and Barbuda,75.8
Argentina,75.8
Armenia,73
Aruba,75.06
Australia,82
Austria,80.5
Azerbaijan,70.1
Bahamas,72.7
Bahrain,78.7
Bangladesh,68.8
Barbados,75.2
Belarus,70.2
Belgium,80.1
Belize,71.2
Benin,60.8
Bermuda,77.6
Bhutan,71.4
Bolivia,71.8
Bosnia and Herzegovina,77.9
Botswana,55.6
Brazil,73.6
Brunei,77.1
Bulgaria,73.7
Burkina Faso,59
Burundi,60.4
Cambodia,67
Cameroon,57.8
Canada,81.3
Cape Verde,71.1
Central African Republic,47.9
Chad,55.8
Channel Islands,79.9
Chile,78.5
China,74.3
Colombia,76.4
Comoros,67.7
"Congo, Dem. Rep.",58.4
"Congo, Rep.",60.4
Costa Rica,79.8
Cote d'Ivoire,56.6
Croatia,76.7
Cuba,77.8
Cyprus,80.6
Czech Republic,77.5
Denmark,79.4
Djibouti,62.3
Dominica,73.7
Dominican Republic,74.4
Ecuador,75.1
Egypt,70.1
El Salvador,74.1
Equatorial Guinea,58.6
Eritrea,60.1
Estonia,76.4
Ethiopia,62.1
Fiji,65.2
Finland,80
France,81.4
French Guiana,76.43
French Polynesia,75.62
Gabon,63
Gambia,66.5
Georgia,72.2
Germany,80.3
Ghana,62.9
Greece,80.4
Greenland,70.8
Grenada,71
Guadeloupe,80.14
Guam,71.6
Guatemala,71.2
Guinea,57.9
Guinea-Bissau,54.3
Guyana,65.5
Haiti,32.2
Honduras,72
"Hong Kong, China",82.84
Hungary,74.6
Iceland,82.8
India,65.4
Indonesia,69.8
Iran,73.7
Iraq,67.3
Ireland,81
Israel,81.6
Italy,81.9
Jamaica,74.8
Japan,82.7
Jordan,77.9
Kazakhstan,68.5
Kenya,62.9
Kiribati,61.9
North Korea,71.2
South Korea,80.4
Kuwait,78.5
Kyrgyz Republic,67.9
Lao,64.1
Latvia,73.9
Lebanon,78.1
Lesotho,46.4
Liberia,60.8
Libya,75.9
Lithuania,73.9
Luxembourg,81.3
"Macao, China",79.75
"Macedonia, FYR",75.2
Madagascar,62.4
Malawi,55.4
Malaysia,74.4
Maldives,79.2
Mali,59.2
Malta,81.3
Marshall Islands,65.8
Martinique,80.71
Mauritania,68.6
Mauritius,73.4
Mayotte,78.52
Mexico,75.4
"Micronesia, Fed. Sts.",68.3
Moldova,70.5
Mongolia,65.2
Montenegro,76.5
Morocco,73.7
Mozambique,54.4
Myanmar,66
Namibia,61.4
Nepal,69
Netherlands,80.8
Netherlands Antilles,76.52
New Caledonia,75.67
New Zealand,80.8
Nicaragua,77.2
Niger,59.2
Nigeria,61.2
Northern Mariana Islands,76.4
Norway,81.1
Oman,76.1
Pakistan,64.5
Panama,77.3
Papua New Guinea,59.1
Paraguay,74
Peru,78.4
Philippines,70.1
Poland,76.2
Portugal,79.9
Puerto Rico,77.1
Qatar,79.2
Reunion,78.88
Romania,73.7
Russia,68.9
Rwanda,65.1
St. Lucia,74.5
St. Vincent and the Grenadines,71.1
Samoa,72.6
Sao Tome and Principe,66.9
Saudi Arabia,78.7
Senegal,64.2
Serbia,74.8
Seychelles,73.1
Sierra Leone,55
Singapore,81.3
Slovak Republic,75.7
Slovenia,79.5
Solomon Islands,62.7
Somalia,51.6
South Africa,54.9
Spain,81.8
Sri Lanka,75
Sudan,66.1
Suriname,70.7
Swaziland,46.4
Sweden,81.6
Switzerland,82.3
Syria,76.5
Taiwan,79
Tajikistan,70.1
Tanzania,61.4
Thailand,74.2
Timor-Leste,70.8
Togo,58.7
Tonga,70.7
Trinidad and Tobago,71.8
Tunisia,77.1
Turkey,78.8
Turkmenistan,68.1
Uganda,57.8
Ukraine,70.5
United Arab Emirates,75.6
United Kingdom,80.2
United States,78.8
Uruguay,76.2
Uzbekistan,70.2
Vanuatu,63.9
Venezuela,74.9
West Bank and Gaza,74.3
Western Sahara,66.84
Vietnam,74.5
Virgin Islands (U.S.),79.46
Yemen,66.6
Zambia,53.1
Zimbabwe,49.1
South Sudan,56
